pollster,startdate,enddate,source,samplesize,D_support,R_support,subpopulation,Rep_cand,Dem_cand,State_code,poll_URL,middate
"Data Orbital
",2018-10-16,2018-10-17,electoral-vote,,47,41,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-16
"PPP
",2018-10-15,2018-10-16,electoral-vote,,48,46,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-15
St. Pete Polls,2018-10-15,2018-10-16,Real Clear Politics,1974,47,49,Likely Voters,Scott,Nelson,fl,http://stpetepolls.org/files/StPetePolls_2018_State_GEN_GovSenate_October16_H72F.pdf,2018-10-15
SurveyUSA*,2018-10-12,2018-10-16,Real Clear Politics,816,41,40,Likely Voters,Braun,Donnelly,in,https://www.ibj.com/articles/70977-new-poll-shows-us-senate-race-too-close-to-call,2018-10-14
Gravis*,2018-10-12,2018-10-16,Real Clear Politics,377,44,40,Likely Voters,Braun,Donnelly,in,https://www.realclearpolitics.com/docs/Gravis_Indiana_October_16_2018.pdf,2018-10-14
Rutgers-Eagleton,2018-10-12,2018-10-16,Real Clear Politics,496,51,46,Likely Voters,Hugin,Menendez,nj,http://eagletonpoll.rutgers.edu/Menendez-Hugin-October2018/,2018-10-14
Quinnipiac,2018-10-10,2018-10-16,Real Clear Politics,873,51,44,Likely Voters,Hugin,Menendez,nj,https://poll.qu.edu/new-jersey/release-detail?ReleaseID=2579,2018-10-13
"Vox Populi
",2018-10-13,2018-10-15,electoral-vote,,55,45,,Braun,Donnelly,IN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-14
"Vox Populi
",2018-10-13,2018-10-15,electoral-vote,,51,49,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-14
Monmouth,2018-10-11,2018-10-15,Real Clear Politics,527,49,40,Likely Voters,Hugin,Menendez,nj,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_NJ_101818/,2018-10-13
MSU-Billings*,2018-10-08,2018-10-13,Real Clear Politics,471,47,38,Likely Voters,Rosendale,Tester,mt,http://www.msubillings.edu/urelations/releases/newsphotos2018/oct/2018%20Montana%20Poll%20report.pdf,2018-10-10
Vanderbilt University,2018-10-08,2018-10-13,Real Clear Politics,800,44,43,Registered Voters,Blackburn,Bredesen,tn,https://news.vanderbilt.edu/2018/10/18/vanderbilt-poll-tennessee-senate-race-a-tossup-lee-in-lead-for-governor/,2018-10-10
CNN,2018-10-09,2018-10-13,Real Clear Politics,716,45,52,Likely Voters,Cruz,O'Rourke,tx,http://cdn.cnn.com/cnn/2018/images/10/16/rel1_tx.pdf,2018-10-11
Emerson*,2018-10-10,2018-10-12,Real Clear Politics,625,41,48,Likely Voters,Heller,Rosen,nv,https://www.emerson.edu/news-events/emerson-college-today/two-emerson-e-polls-republicans-edge-us-senate-governor-races-nevada-new-hampshire-races-come-focus#.W8SXvWhKhhH,2018-10-11
"Ipsos
",2018-10-04,2018-10-11,electoral-vote,,44,47,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-07
NY Times/Siena,2018-10-08,2018-10-11,Real Clear Politics,593,40,54,Likely Voters,Blackburn,Bredesen,tn,https://www.nytimes.com/interactive/2018/upshot/elections-poll-tnsen-2.html,2018-10-09
NY Times/Siena,2018-10-08,2018-10-11,Real Clear Politics,800,43,51,Likely Voters,Cruz,O'Rourke,tx,https://www.nytimes.com/interactive/2018/upshot/elections-poll-txsen-2.html,2018-10-09
NY Times/Siena,2018-10-08,2018-10-10,Real Clear Politics,642,45,47,Likely Voters,Heller,Rosen,nv,https://www.nytimes.com/interactive/2018/upshot/elections-poll-nvsen-2.html,2018-10-09
Quinnipiac,2018-10-03,2018-10-09,Real Clear Politics,730,45,54,Likely Voters,Cruz,O'Rourke,tx,https://poll.qu.edu/texas/release-detail?ReleaseID=2578,2018-10-06
"Ipsos
",2018-09-27,2018-10-07,electoral-vote,,44,45,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-02
"1st Tuesday Campaigns
",2018-10-05,2018-10-06,electoral-vote,,42,44,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-05
MTN-MSU*,2018-09-15,2018-10-06,Real Clear Politics,2079,46,43,Registered Voters,Rosendale,Tester,mt,https://krtv.com/news/montana-politics/2018/10/22/mtn-msu-poll-tester-holds-narrow-lead-in-u-s-senate-race/,2018-09-25
"Florida Southern Coll.
",2018-10-01,2018-10-05,electoral-vote,,44,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-03
"Florida Southern Coll.
",2018-10-01,2018-10-05,electoral-vote,,45,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-03
CBS News/YouGov,2018-10-02,2018-10-05,Real Clear Politics,898,47,44,Likely Voters,McSally,Sinema,az,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/d9wp5yc52h/cbs_20181007_AZ_final.pdf,2018-10-03
CBS News/YouGov,2018-10-02,2018-10-05,Real Clear Politics,845,49,39,Likely Voters,Hugin,Menendez,nj,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0gqikwg9lw/cbs_20181007_NJ_final.pdf,2018-10-03
CBS News/YouGov,2018-10-02,2018-10-05,Real Clear Politics,871,42,50,Likely Voters,Blackburn,Bredesen,tn,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/stwad1b5f2/cbs_20181007_TN_final.pdf,2018-10-03
CBS News/YouGov,2018-10-02,2018-10-05,Real Clear Politics,881,44,50,Likely Voters,Cruz,O'Rourke,tx,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0f3cqnuscn/cbs_20181007_TX_final.pdf,2018-10-03
Emerson*,2018-10-01,2018-10-05,Real Clear Politics,500,42,47,Likely Voters,Cruz,O'Rourke,tx,https://www.emerson.edu/news-events/emerson-college-today/emerson-e-poll-cruz-extends-texas-us-senate-race-abbott-cruises-governor-race#.W7tWUGhKhhH,2018-10-03
NBC News/Marist,2018-09-30,2018-10-03,Real Clear Politics,574,44,46,Likely Voters,Heller,Rosen,nv,https://www.nbcnews.com/politics/first-read/poll-races-nevada-are-dead-heat-n918251,2018-10-01
"Kaiser Family Foundation
",2018-09-19,2018-10-02,electoral-vote,,48,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-25
"Kaiser Family Foundation
",2018-09-19,2018-10-02,electoral-vote,,44,45,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-25
ABC 15/OH Predictive Insights,2018-10-01,2018-10-02,Real Clear Politics,600,41,47,Likely Voters,McSally,Sinema,az,https://www.abc15.com/news/state/poll-martha-mcsally-gaining-in-senate-race-against-kyrsten-sinema,2018-10-01
FOX News,2018-09-29,2018-10-02,Real Clear Politics,716,47,45,Likely Voters,McSally,Sinema,az,https://www.foxnews.com/politics/arizona-poll-document-10-3,2018-09-30
FOX News*,2018-09-29,2018-10-02,Real Clear Politics,695,43,41,Likely Voters,Braun,Donnelly,in,https://www.foxnews.com/politics/indiana-poll-document-10-3,2018-09-30
FOX News,2018-09-29,2018-10-02,Real Clear Politics,683,46,46,Likely Voters,Hawley,McCaskill,mo,https://www.foxnews.com/politics/missouri-poll-document-10-3,2018-09-30
FOX News,2018-09-29,2018-10-02,Real Clear Politics,683,41,53,Likely Voters,Cramer,Heitkamp,nd,https://www.foxnews.com/politics/north-dakota-poll-document-10-3,2018-09-30
Quinnipiac,2018-09-25,2018-10-02,Real Clear Politics,1058,53,42,Likely Voters,Hugin,Menendez,nj,https://poll.qu.edu/new-jersey/release-detail?ReleaseID=2576,2018-09-28
FOX News,2018-09-29,2018-10-02,Real Clear Politics,666,43,48,Likely Voters,Blackburn,Bredesen,tn,https://www.foxnews.com/politics/tennessee-poll-document-10-3,2018-09-30
"St. Pete Polls
",2018-09-29,2018-09-30,electoral-vote,,47,47,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-29
"PPP
",2018-09-28,2018-09-30,electoral-vote,,48,44,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-29
"Strategic Research Assoc.
",2018-09-17,2018-09-30,electoral-vote,,45,44,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-23
Suffolk*,2018-09-27,2018-09-30,Real Clear Politics,500,45,42,Likely Voters,McSally,Sinema,az,https://www.suffolk.edu/documents/SUPRC/10_3_2018_marginals.pdf,2018-09-28
Fairleigh Dickinson,2018-09-26,2018-09-30,Real Clear Politics,508,43,37,Likely Voters,Hugin,Menendez,nj,https://view2.fdu.edu/publicmind/2018/181003/,2018-09-28
CNN*,2018-09-25,2018-09-29,Real Clear Politics,756,47,44,Likely Voters,Hawley,McCaskill,mo,http://cdn.cnn.com/cnn/2018/images/10/01/rel1_mo.pdf,2018-09-27
CNN*,2018-09-25,2018-09-29,Real Clear Politics,693,47,43,Likely Voters,Heller,Rosen,nv,http://cdn.cnn.com/cnn/2018/images/10/01/rel1_nv.pdf,2018-09-27
"PPP
",2018-09-28,2018-09-28,electoral-vote,,49,45,,Rosendale,Tester,MT,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-28
"Mason Dixon
",2018-09-24,2018-09-27,electoral-vote,,47,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-25
Missouri Scout*,2018-09-26,2018-09-27,Real Clear Politics,1555,46,48,Likely Voters,Hawley,McCaskill,mo,https://static1.squarespace.com/static/59015f4b37c581b2ce01e5b3/t/5baf9aecec212d33699b7e51/1538235118297/MOScout+Weekly+Poll-+Statewide+9.29.pdf,2018-09-26
NBC Valley News,2018-09-17,2018-09-27,Real Clear Politics,650,41,51,Likely Voters,Cramer,Heitkamp,nd,https://www.valleynewslive.com/content/news/Cramer-leads-Heitkamp-in-new-VNL-poll-494839191.html,2018-09-22
Stockton University*,2018-09-19,2018-09-27,Real Clear Politics,531,45,43,Likely Voters,Hugin,Menendez,nj,https://stockton.edu/hughes-center/polling/documents/nj-statewide-2018-poll-wfs.pdf,2018-09-23
"Latino Decisions
",2018-09-10,2018-09-25,electoral-vote,,47,41,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-17
"Quinnipiac U.
",2018-09-20,2018-09-24,electoral-vote,,53,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-22
Gravis,2018-09-19,2018-09-22,Real Clear Politics,710,49,45,Likely Voters,Rosendale,Tester,mt,https://www.realclearpolitics.com/docs/Gravis_Montana_September_25_2018.pdf,2018-09-20
Emerson*,2018-09-19,2018-09-21,Real Clear Politics,650,45,39,Registered Voters,McSally,Sinema,az,https://www.emerson.edu/office-of-communications/media-relations/press-releases/emerson-e-poll-ariz-voters-dead-even-kavanaugh-nomination-democrats-lead-us-senate-race-republicans-lead-gov-race#.W6jn3GhKhhF,2018-09-20
"Ipsos
",2018-09-12,2018-09-20,electoral-vote,,46,43,,Braun,Donnelly,IN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-16
"PPP
",2018-09-19,2018-09-20,electoral-vote,,46,49,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-19
NBC News/Marist,2018-09-16,2018-09-20,Real Clear Politics,564,48,45,Likely Voters,McSally,Sinema,az,https://www.nbcnews.com/politics/first-read/nbc-news-poll-it-s-neck-neck-arizona-senate-race-n912696,2018-09-18
"U. of North Florida
",2018-09-17,2018-09-19,electoral-vote,,45,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-18
"Ipsos
",2018-09-07,2018-09-17,electoral-vote,,43,46,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-12
Quinnipiac,2018-09-11,2018-09-17,Real Clear Politics,807,45,54,Likely Voters,Cruz,O'Rourke,tx,https://poll.qu.edu/texas/release-detail?ReleaseID=2570,2018-09-14
"Florida Atlantic U.
",2018-09-13,2018-09-16,electoral-vote,,41,42,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-14
"SSRS
",2018-09-11,2018-09-15,electoral-vote,,50,43,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-13
CNN,2018-09-11,2018-09-15,Real Clear Politics,723,50,45,Likely Voters,Blackburn,Bredesen,tn,https://www.cnn.com/2018/09/17/politics/cnn-polls-arizona-tennessee-senate/index.html,2018-09-13
"Ipsos
",2018-09-05,2018-09-14,electoral-vote,,47,44,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-09
"Ipsos
",2018-09-06,2018-09-14,electoral-vote,,47,45,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-10
CBS News/YouGov,2018-09-10,2018-09-14,Real Clear Politics,917,45,45,Likely Voters,Hawley,McCaskill,mo,https://drive.google.com/file/d/1vXZBSQWQG3sKl-s40m_P4wGI5izDsXpf/view,2018-09-12
CBS News/YouGov,2018-09-10,2018-09-14,Real Clear Politics,453,47,45,Likely Voters,Rosendale,Tester,mt,https://drive.google.com/file/d/1sIROTFhWn2eSSMy9mTNo6dYMHNFTQTqd/view,2018-09-12
Trafalgar Group (R),2018-09-11,2018-09-13,Real Clear Politics,1724,44,47,Likely Voters,Hawley,McCaskill,mo,https://drive.google.com/file/d/103zvzW92SdZiQVZckxzEX2XolV9K2qx7/view,2018-09-12
"Ipsos
",2018-09-05,2018-09-12,electoral-vote,,45,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-08
"Triton Polling and Res.
",2018-09-10,2018-09-12,electoral-vote,,45,48,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-11
Gravis,2018-09-11,2018-09-12,Real Clear Politics,700,47,45,Likely Voters,Heller,Rosen,nv,https://www.realclearpolitics.com/docs/Nevada_(September_13_2018)_v2.pdf,2018-09-11
"Fox News
",2018-09-08,2018-09-11,electoral-vote,,47,44,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-09
"Pulse Opinion Research
",2018-09-10,2018-09-11,electoral-vote,,45,44,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-10
FOX News*,2018-09-08,2018-09-11,Real Clear Politics,677,43,45,Likely Voters,Braun,Donnelly,in,http://www.foxnews.com/politics/interactive/2018/09/12/fox-news-indiana-poll-912.html,2018-09-09
FOX News,2018-09-08,2018-09-11,Real Clear Politics,675,45,45,Likely Voters,Hawley,McCaskill,mo,"https://www.realclearpolitics.com/docs/FOX_News_Missouri_Likely_Voters_Sept_12,_2018.pdf",2018-09-09
FOX News,2018-09-08,2018-09-11,Real Clear Politics,701,44,48,Likely Voters,Cramer,Heitkamp,nd,http://www.foxnews.com/politics/2018/09/12/fox-news-poll-republican-challenger-ahead-in-north-dakota-senate-race.html,2018-09-09
FOX News,2018-09-08,2018-09-11,Real Clear Politics,686,44,47,Likely Voters,Blackburn,Bredesen,tn,http://www.foxnews.com/politics/interactive/2018/09/12/fox-news-poll-tennessee-912.html,2018-09-09
Suffolk*,2018-09-05,2018-09-10,Real Clear Politics,500,42,41,Likely Voters,Heller,Rosen,nv,https://www.realclearpolitics.com/docs/Nevada_Suffolk_September_2018.pdf,2018-09-07
"SurveyUSA
",2018-09-07,2018-09-09,electoral-vote,,44,46,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-08
"Crosswind Media
",2018-09-06,2018-09-09,electoral-vote,,44,47,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-07
CBS 11/Dixie Strategies,2018-09-06,2018-09-07,Real Clear Politics,519,42,46,Likely Voters,Cruz,O'Rourke,tx,https://dfw.cbslocal.com/2018/09/12/cruz-clings-to-small-lead-in-texas/,2018-09-06
"OH Predictive Insights
",2018-09-05,2018-09-06,electoral-vote,,46,49,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-05
"Quinnipiac U.
",2018-08-30,2018-09-03,electoral-vote,,49,49,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-09-01
"U. of Montana
",2018-08-13,2018-08-31,electoral-vote,,56,32,,Rosendale,Tester,MT,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-22
"PPP
",2018-08-29,2018-08-30,electoral-vote,,46,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-29
"St. Pete Polls
",2018-08-29,2018-08-30,electoral-vote,,47,47,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-29
"Marist Coll.
",2018-08-26,2018-08-29,electoral-vote,,44,41,,Braun,Donnelly,IN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-27
NBC News/Marist,2018-08-26,2018-08-29,Real Clear Politics,576,49,43,Likely Voters,Braun,Donnelly,in,https://www.nbcnews.com/politics/first-read/nbc-marist-poll-democrat-joe-donnelly-has-slight-edge-indiana-n906851,2018-08-27
"Marist Coll.
",2018-08-25,2018-08-28,electoral-vote,,44,40,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-26
NBC News/Marist,2018-08-25,2018-08-28,Real Clear Politics,538,48,46,Likely Voters,Blackburn,Bredesen,tn,http://media1.s-nbcnews.com/i/today/z_creative/NBCNews_MaristPoll_TennesseeAnnotatedQuestionnaire_September2018_1808311750.pdf,2018-08-26
"Emerson Coll.
",2018-08-22,2018-08-25,electoral-vote,,37,38,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-23
"PPP
",2018-08-20,2018-08-21,electoral-vote,,48,43,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-20
"Florida Atlantic U.
",2018-08-16,2018-08-20,electoral-vote,,39,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-18
"Quinnipiac U.
",2018-08-15,2018-08-20,electoral-vote,,43,37,,Hugin,Menendez,NJ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-17
"Marist Coll.
",2018-08-12,2018-08-16,electoral-vote,,45,49,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-14
"Missouri Scout
",2018-08-08,2018-08-09,electoral-vote,,47,47,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-08
Trafalgar Group (R),2018-07-31,2018-08-07,Real Clear Politics,1420,51,39,Likely Voters,Braun,Donnelly,in,https://www.trafalgarstrategy.com/news/in-senate-poll-aug-18/,2018-08-03
"PPP
",2018-08-01,2018-08-02,electoral-vote,,42,46,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-08-01
"Quinnipiac U.
",2018-07-26,2018-07-31,electoral-vote,,43,49,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-28
"Suffolk U.
",2018-07-21,2018-07-29,electoral-vote,,40,41,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-25
Suffolk*,2018-07-25,2018-07-29,Real Clear Politics,500,40,41,Likely Voters,Heller,Rosen,nv,https://www.realclearpolitics.com/docs/Suffolk_Nevada_July_2018_27823.pdf,2018-07-27
"Texas Lyceum
",2018-07-09,2018-07-26,electoral-vote,,39,41,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-17
"OH Predictive Insights
",2018-07-23,2018-07-25,electoral-vote,,48,44,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-24
"Mason Dixon
",2018-07-24,2018-07-25,electoral-vote,,44,47,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-24
"Florida Atlantic U.
",2018-07-20,2018-07-21,electoral-vote,,40,44,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-20
"Emerson Coll.
",2018-07-11,2018-07-14,electoral-vote,,43,37,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-12
"PPP
",2018-07-10,2018-07-11,electoral-vote,,43,37,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-07-10
Remington Research (R),2018-07-08,2018-07-10,Real Clear Politics,2581,49,46,Likely Voters,Rosendale,Tester,mt,https://www.realclearpolitics.com/docs/MT_General_Election_Survey_071118.pdf,2018-07-09
"PPP
",2018-06-23,2018-06-25,electoral-vote,,42,41,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-24
"Emerson Coll.
",2018-06-21,2018-06-22,electoral-vote,,40,32,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-21
"YouGov
",2018-06-19,2018-06-22,electoral-vote,,41,34,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-20
"YouGov
",2018-06-19,2018-06-22,electoral-vote,,40,42,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-20
"YouGov
",2018-06-19,2018-06-22,electoral-vote,,40,50,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-20
"Marist Coll.
",2018-06-17,2018-06-21,electoral-vote,,49,38,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-19
"Marist Coll.
",2018-06-17,2018-06-21,electoral-vote,,49,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-19
"U. of Texas
",2018-06-08,2018-06-17,electoral-vote,,36,41,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-06-12
Mason-Dixon,2018-06-13,2018-06-15,Real Clear Politics,625,44,48,Likely Voters,Cramer,Heitkamp,nd,http://www.valleynewslive.com/content/news/New-poll-shows-close-race-for-US-Senate-Race-in-North-Dakota-485856391.html,2018-06-14
Gravis,2018-06-11,2018-06-13,Real Clear Politics,469,52,44,Likely Voters,Rosendale,Tester,mt,https://www.realclearpolitics.com/docs/Montana_June_19th_2018.pdf,2018-06-12
"Morning Consult
",2018-05-29,2018-05-30,electoral-vote,,39,40,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-29
"Quinnipiac U.
",2018-05-23,2018-05-29,electoral-vote,,39,50,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-26
"PPP
",2018-05-21,2018-05-22,electoral-vote,,42,48,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-21
"Fairleigh Dickinson U.
",2018-05-16,2018-05-21,electoral-vote,,28,24,,Hugin,Menendez,NJ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-18
"JMC Enterprises
",2018-05-19,2018-05-21,electoral-vote,,40,47,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-20
"Missouri Scout
",2018-05-05,2018-05-10,electoral-vote,,48,44,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-07
"Florida Atlantic U.
",2018-05-04,2018-05-05,electoral-vote,,45,45,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-05-04
"PPP
",2018-04-30,2018-05-01,electoral-vote,,44,42,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-30
"PPP
",2018-04-30,2018-05-01,electoral-vote,,46,43,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-30
"Emerson Coll.
",2018-04-26,2018-04-29,electoral-vote,,45,45,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-27
"Missouri Scout
",2018-04-19,2018-04-20,electoral-vote,,48,44,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-19
"Mason Dixon
",2018-04-17,2018-04-19,electoral-vote,,46,43,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-18
