state,state_po,2020 elections?,Voter Impact on 2021 Congressional Redisticting:,State Legislature Elections in 2020?,only 1 district,Redistricting process,2020 election playing field,Bipartisan Control Probability
New Jersey,NJ,,No leverage,0,,"New Jersey's state legislative and congressional districts are drawn by two different partisan commissions comprised of politicians. Each commission has equal numbers of Democrats and Republicans, with a tie-breaking chair selected by the other commissioners.",,
New Mexico,NM,,Low leverage,1,,"New Mexico's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Democrats hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Democrats will very likely have single-party control of redistricting.",2%
New York,NY,,No leverage,1,,"Beginning in 2021, New York's state legislative and congressional districts will be drawn by a ten-member commission, which will submit proposed plans to the state legislature for an up-or-down vote. Only after the Commission rejects two proposed maps will the Legislature be permitted to make amendments to the Commission's proposals.",,
North Carolina,NC,,Some leverage,1,,"North Carolina's state legislative and congressional districts are drawn by the state Legislature by ordinary statute. Unlike most states, the resulting plans are not subject to the Governor's veto.","Since the governor plays no role in redistricing, there will only be bipartisan control over the redistricting process if different parties control the two chambers of the state legislature. Both chambers lean slightly toward Republicans at the moment, but it is quite possible that either party gains full control over the redistricting process.",22%
North Dakota,ND,,No leverage,1,1,"North Dakota's state legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. It has only one at-large congressional district.",,
Ohio,OH,,Very low leverage,1,,"Beginning in 2021, Ohio will use two unique systems to draw its congressional and state legislative districts. 

For congressional districts, the Legislature must attempt to pass redistricting plans that attract support from both parties. If this fails, then the task goes to a commission whose members are appointed by politicians. This seven-member commission is made of the Governor, State Auditor, Secretary of State, and one person appointed by each state legislative leader. The only limitation is that members cannot be members of Congress. If the commission fails, then the task goes back to the Legislature. If there is still a lack of bipartisan support, the resulting plan will go into effect for only four years, after which this process will begin again.

For state legislative districts, the same seven-member commission that serves as a backup for drawing congressional districts has the primary responsibility for drawing state legislative maps. The length of time for which the maps are in effect depends on the breakdown for how they are adopted: if at least two commissioners aligned with both parties vote for the maps, they remain in effect for the entire decade. But if the maps are adopted on a party-line vote, they will only be in effect for four years.",,
Oklahoma,OK,,Very low leverage,1,,"Oklahoma's state legislative and congressional district lines are drawn by the state legislature by ordinary statute, and are subject to the governor's veto. The legislature can override vetoes with a two-thirds vote in each chamber.",Republicans hold the governorship and both chambers of the state legislature and will almost certainly have single-party control of redistricting.,0%
Oregon,OR,,Very low leverage,1,,"Oregon's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Democrats hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Democrats will almost certainly have single-party control of redistricting.",1%
Pennsylvania,PA,,Low leverage,1,,"Pennsylvania's congressional lines are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. Pennsylvania's state legislative lines are drawn by a commission of politicians. The four legislative leaders each select one commission member. These four then choose a fifth, who acts as the commission's chair. ","Democrats hold the governorship and Republicans hold the state legislature. As long as Republicans retain one chamber of the state legislature, which is likely, there will be bipartisan control over redistricting.",95%
Rhode Island,RI,,No leverage,1,1,"Rhode Island's state legislative and congressional lines are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber. Rhode Island is projected to only have one at-large congressional district after the 2020 Census.",,
South Carolina,SC,,Very low leverage,1,,"South Carolina's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Republicans hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Republicans will almost certainly have single-party control of redistricting.",<1%
South Dakota,SD,,No leverage,1,1,"South Dakota's state legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. South Dakota has only one at-large congressional district.",,
Tennessee,TN,,Very low leverage,1,,"Tennessee's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority vote in each chamber.","Republicans hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Republicans will almost certainly have single-party control of redistricting.",<1%
Texas,TX,,High leverage,1,,"Texas's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. If the state legislature fails to draw new legislative districts in the first session following the Census, the Legislative Redistricting Board of Texas acts as a fallback mechanism. This Board would consist of five members: the Lieutenant Governor, the Speaker of the House of Representatives, the Attorney General, the Comptroller of Public Accounts, and the Commissioner of the General Land Office.",Texas has a Republican governor and a Republican state legislature. Democrats need to pick up nine seats in the State House to break Republican unified control of the state.,21%
Utah,UT,,No leverage,1,,"Beginning in 2021, Utah's state legislative and congressional districts will be drawn by a seven-member independent advisory redistricting commission. One member will be appointed by the governor, one by each of the four legislative leaders, one chosen jointly by the leadership of the majority Senate party, and one chosen jointly by the leadership of the minority Senate party.",,<1%
Vermont,VT,,No leverage,1,,"Vermont's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. Vermont has only one at-large congressional district.",,
Virginia,VA,,No leverage,0,,"Virginia's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto.",,
Washington,WA,,No leverage,1,,Washington's state legislative and congressional districts are drawn by an Independent Redistricting Commission.,,
West Virginia,WV,,Very low leverage,1,,"West Virginia's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority vote in each chamber","Republicans hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Republicans will almost certainly have single-party control of redistricting.",<1%
Wisconsin,WI,,Low leverage,1,,"Wisconsin's state legislative and congressional lines are drawn by the Legislature via statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Democrats hold the governorship, while Republicans hold both chambers of the state legislature. As long as Democrats do not flip both chambers and Republicans do not pick up supermajorities in both chambers, there will be bipartisan control of redistricting.",99%
Wyoming,WY,,No leverage,1,1,"Wyoming's state legislative and congressional district lines are drawn by the Legislature as an ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. Wyoming has only one at-large Congressional district.",,
