,id,subgroup,sampleSize,population,grade,url,created_at,startDate,endDate,pollster,pollsterRatingLink,partisan_pollster,answers,type,seat_name,tracking,headToHead,sponsors,internal,inAvg,politician,cycle,partisan,state,district,dminusr,dem_cand,rep_cand
21321,154669,All polls,748.0,rv,B/C,https://thenevadaindependent.com/article/poll-cortez-masto-leads-laxalt-for-nevada-senate-ominous-signs-over-biden-approval%EF%BF%BC,2022-04-18,2022-04-01,2022-04-09,OH Predictive Insights,https://projects.fivethirtyeight.com/pollster-ratings/oh-predictive-insights/,,"[{'choice': 'Cortez Masto', 'pct': '43.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '35.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Nevada Independent', 'partisan': None, 'internal': False, 'url': 'https://thenevadaindependent.com/'}]",False,True,,2022.0,,Nevada,,8.0,Cortez Masto,Laxalt
21349,154745,All polls,868.0,lv,B-,https://scholars.unh.edu/survey_center_polls/693/,2022-04-21,2022-04-14,2022-04-18,University of New Hampshire,https://projects.fivethirtyeight.com/pollster-ratings/university-of-new-hampshire/,,"[{'choice': 'Hassan', 'pct': '47.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Bolduc', 'pct': '46.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,New Hampshire,,1.0,Hassan,Bolduc
21459,154963,All polls,2500.0,rv,,https://www.documentcloud.org/documents/21748269-grassroots-targeting-poll-42522,2022-04-27,2022-04-03,2022-04-16,Grassroots Targeting,,,"[{'choice': 'Warnock', 'pct': '41.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '51.4', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': '34N22 (super PAC)', 'partisan': 'Republican Party', 'internal': False, 'url': 'https://www.34n22.com/'}]",False,True,,2022.0,REP,Georgia,,-10.399999999999999,Warnock,Walker
21502,155093,All polls,1278.0,lv,A,https://www.11alive.com/article/news/politics/georgia-governor-poll-11alive-brian-kemp-stacey-abrams-david-perdue/85-c32ba4bb-5caf-4881-a4c9-cf860e3a28c2,2022-04-28,2022-04-22,2022-04-27,SurveyUSA,https://projects.fivethirtyeight.com/pollster-ratings/surveyusa/,,"[{'choice': 'Warnock', 'pct': '50.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '45.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'WXIA-TV (Atlanta)', 'partisan': None, 'internal': False, 'url': 'https://www.11alive.com/'}]",False,True,,2022.0,,Georgia,,5.0,Warnock,Walker
21563,155314,All polls,986.0,lv,B,https://s3.amazonaws.com/ak-lkunce/images/Remington-Research-2022-Missouri-Senate-Race-Poll-Trudy-Busch-Valentine-Loses-To-Greitens.pdf,2022-05-05,2022-04-27,2022-04-28,Remington Research Group,https://projects.fivethirtyeight.com/pollster-ratings/remington-research-group/,,"[{'choice': 'Busch Valentine', 'pct': '32.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Schmitt', 'pct': '50.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Missouri Scout', 'partisan': None, 'internal': False, 'url': 'https://moscout.com/'}]",False,False,,2022.0,,Missouri,,-18.0,Busch Valentine,Schmitt
21565,155316,All polls,600.0,lv,C/D,https://www.breitbart.com/politics/2022/05/05/exclusive-poll-gops-trump-backed-adam-laxalt-leads-democrat-cathy-cortez-masto-nevada/?utm_source=dlvr.it&utm_medium=twitter,2022-05-06,2022-04-18,2022-04-20,McLaughlin & Associates,https://projects.fivethirtyeight.com/pollster-ratings/mclaughlin-associates/,,"[{'choice': 'Cortez Masto', 'pct': '46.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '47.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Battle Born Values PAC (super PAC)', 'partisan': 'Republican Party', 'internal': False, 'url': 'https://www.battlebornvalues.com/'}]",False,True,,2022.0,REP,Nevada,,-1.0,Cortez Masto,Laxalt
21614,155425,All polls,543.0,rv,,https://andoverpoll.com/2022/05/11/florida-midterms-ron-desantis-and-val-demings-lead-the-polls-by-very-slim-margins/,2022-05-11,2022-05-07,2022-05-09,Phillips Academy,,,"[{'choice': 'Demings', 'pct': '36.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '34.0', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,"[{'sponsor': 'Abbot Academy Fund', 'partisan': None, 'internal': False, 'url': 'https://www.andover.edu/alumni/alumni-connect/abbot-academy/abbot-academy-fund'}]",False,True,,2022.0,,Florida,,2.0,Demings,Rubio
21618,155430,All polls,1000.0,rv,A-,https://emersonpolling.reportablenews.com/pr/ted-budd-solidifies-frontrunner-status-in-us-senate-gop-primary,2022-05-11,2022-05-07,2022-05-09,Emerson College,https://projects.fivethirtyeight.com/pollster-ratings/emerson-college/,,"[{'choice': 'Beasley', 'pct': '41.4', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '48.2', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Hill', 'partisan': None, 'internal': False, 'url': 'https://thehill.com/'}]",False,True,,2022.0,,North Carolina,,-6.800000000000004,Beasley,Budd
21637,155481,All polls,800.0,lv,B/C,https://www.documentcloud.org/documents/22005826-beasley-nc-survey-memo-d51122,2022-05-12,2022-04-28,2022-05-04,Global Strategy Group,https://projects.fivethirtyeight.com/pollster-ratings/global-strategy-group/,,"[{'choice': 'Beasley', 'pct': '45.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '45.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Cheri Beasley', 'partisan': 'Democratic Party', 'candidate': True}]",True,True,,2022.0,DEM,North Carolina,,0.0,Beasley,Budd
21670,155555,All polls,1412.0,lv,A,https://www.ky3.com/2022/05/17/us-senate-poll-greitens-leads-republican-candidates-ahead-august-primary-mo-kunce-leads-democratic-ticket/,2022-05-17,2022-05-11,2022-05-15,SurveyUSA,https://projects.fivethirtyeight.com/pollster-ratings/surveyusa/,,"[{'choice': 'Busch Valentine', 'pct': '34.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Schmitt', 'pct': '47.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Gray Television', 'partisan': None, 'internal': False, 'url': 'https://gray.tv/'}, {'sponsor': 'KOAM-TV (Pittsburg, Kan.)', 'partisan': None, 'internal': False, 'url': 'https://www.koamnewsnow.com/'}]",False,False,,2022.0,,Missouri,,-13.0,Busch Valentine,Schmitt
21689,155615,All polls,500.0,rv,B/C,https://cprnc.org/2022/05/18/exclusive-first-look-at-budd-beasley-numbers/,2022-05-18,2022-05-12,2022-05-16,Meeting Street Insights,https://projects.fivethirtyeight.com/pollster-ratings/meeting-street-insights/,,"[{'choice': 'Beasley', 'pct': '45.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '46.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Carolina Partnership for Reform', 'partisan': 'Republican Party', 'internal': False, 'url': 'https://cprnc.org/'}]",False,True,,2022.0,REP,North Carolina,,-1.0,Beasley,Budd
21713,155698,All polls,608.0,lv,,https://blueprintpolling.com/wp-content/uploads/2022/05/051822-BPP-AZ-Survey-1.pdf,2022-05-20,2022-05-12,2022-05-16,Blueprint Polling,,,"[{'choice': 'Kelly', 'pct': '48.6', 'party': 'Dem', 'incumbent': True}, {'choice': 'Masters', 'pct': '32.3', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,Arizona,,16.300000000000004,Kelly,Masters
21717,155714,All polls,635.0,rv,B/C,https://surveyresearch-ecu.reportablenews.com/pr/ecu-poll-ted-budd-leads-cheri-beasley-by-eight-points-among-registered-voters-in-north-carolina-republicans-lead-generic-congressional-vote-by-three-in-nc-biden-s-approval-rating-at-just-thirty-five-percent-in-the-tar-heel-state,2022-05-23,2022-05-19,2022-05-20,East Carolina University,https://projects.fivethirtyeight.com/pollster-ratings/east-carolina-university/,,"[{'choice': 'Beasley', 'pct': '41.5', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '49.3', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,North Carolina,,-7.799999999999997,Beasley,Budd
21791,155947,All polls,600.0,lv,B+,https://www.johnlocke.org/polls/post-primary-civitas-poll-shows-tight-race-for-north-carolinas-open-u-s-senate-seat/,2022-05-26,2022-05-21,2022-05-22,Cygnal,https://projects.fivethirtyeight.com/pollster-ratings/cygnal/,,"[{'choice': 'Beasley', 'pct': '41.8', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '43.6', 'party': 'Rep', 'incumbent': False}, {'choice': 'Hoh', 'pct': '0.7', 'party': 'Gre', 'incumbent': False}, {'choice': 'Bray', 'pct': '1.9', 'party': 'Lib', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The John Locke Foundation', 'partisan': 'Republican Party', 'internal': False, 'url': 'https://www.johnlocke.org/'}]",False,True,,2022.0,REP,North Carolina,,-1.8000000000000043,Beasley,Budd
21812,156011,All polls,500.0,lv,B+,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2022/6_01_2022_embargoed_marginals_part_1.pdf?la=en&hash=66D1F4CB3D702841993E21215532815ACD11E1B6,2022-06-01,2022-05-22,2022-05-24,Suffolk University,https://projects.fivethirtyeight.com/pollster-ratings/suffolk-university/,,"[{'choice': 'Ryan', 'pct': '39.4', 'party': 'Dem', 'incumbent': False}, {'choice': 'Vance', 'pct': '41.6', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'USA Today', 'partisan': None, 'internal': False, 'url': 'https://www.usatoday.com/'}]",False,True,,2022.0,,Ohio,,-2.200000000000003,Ryan,Vance
21823,156088,All polls,655.0,v,A-,https://giffords.org/press-release/2022/06/giffords-releases-new-polling-after-roundtable-with-florida-parents/,2022-06-01,2022-05-26,2022-05-27,Public Policy Polling,https://projects.fivethirtyeight.com/pollster-ratings/public-policy-polling/,,"[{'choice': 'Demings', 'pct': '41.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '47.0', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,"[{'sponsor': 'Giffords (hybrid PAC)', 'partisan': 'Democratic Party', 'internal': False, 'url': 'https://giffords.org/'}]",False,True,,2022.0,DEM,Florida,,-6.0,Demings,Rubio
21839,156126,All polls,1098.0,a,,https://www.dropbox.com/s/28lxqn4ui3r1f4w/NESP_Primary22_Topline.pdf?dl=0,2022-06-03,2022-05-17,2022-05-27,University of Nevada,,,"[{'choice': 'Cortez Masto', 'pct': '48.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '27.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,Nevada,,21.0,Cortez Masto,Laxalt
21883,156306,All polls,810.0,rv,B,https://www.deseret.com/utah/2022/6/8/23158193/who-would-win-against-evan-mcmullin-senate-election-utah-new-poll-reveals-answers,2022-06-09,2022-05-24,2022-06-04,Dan Jones & Associates,https://projects.fivethirtyeight.com/pollster-ratings/dan-jones-associates/,,"[{'choice': 'Lee', 'pct': '41.0', 'party': 'Rep', 'incumbent': True}, {'choice': 'McMullin', 'pct': '37.0', 'party': 'Ind', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Deseret News', 'partisan': None, 'internal': False, 'url': 'https://www.deseret.com/'}, {'sponsor': 'University of Utah Hinckley Institute of Politics', 'partisan': None, 'internal': False, 'url': 'https://www.hinckley.utah.edu/'}]",False,True,,2022.0,,Utah,,-4.0,McMullin,Lee
21903,156547,All polls,868.0,rv,B/C,https://surveyresearch-ecu.reportablenews.com/pr/georgia-senate-race-tied-kemp-leads-abrams-by-five,2022-06-14,2022-06-06,2022-06-09,East Carolina University,https://projects.fivethirtyeight.com/pollster-ratings/east-carolina-university/,,"[{'choice': 'Warnock', 'pct': '47.4', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '46.6', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,Georgia,,0.7999999999999972,Warnock,Walker
21904,156548,All polls,650.0,lv,A,https://www.wral.com/beasley-budd-in-close-race-for-us-senate-seat-wral-news-poll-shows/20330242/,2022-06-14,2022-06-08,2022-06-12,SurveyUSA,https://projects.fivethirtyeight.com/pollster-ratings/surveyusa/,,"[{'choice': 'Beasley', 'pct': '44.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '40.0', 'party': 'Rep', 'incumbent': False}, {'choice': 'Bray', 'pct': '2.0', 'party': 'Lib', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'WRAL-TV (Raleigh, N.C.)', 'partisan': None, 'internal': False, 'url': 'https://www.wral.com/'}]",False,True,,2022.0,,North Carolina,,4.0,Beasley,Budd
