num_polls,julian_date,date_most_recent_poll,median_margin,median_std_dev,state_num
2,290,265,18.35,2.00,9
3,290,288,-6.00,1.48,10
9,290,290,-2.00,2.37,11
0,290,001,29.50,-999.00,12
0,290,001,-30.80,-999.00,13
2,290,279,16.60,1.48,14
3,290,274,-16.00,1.78,15
2,290,272,-5.35,2.00,16
0,290,001,-14.70,-999.00,17
0,290,001,-25.90,-999.00,18
0,290,001,-18.60,-999.00,19
3,290,280,8.00,7.41,20
3,290,289,25.80,5.63,21
3,290,290,29.00,4.45,22
7,290,290,0.90,1.33,23
3,290,288,8.00,0.00,24
0,290,001,-16.50,-999.00,25
3,290,284,-11.80,3.85,26
3,290,282,-17.00,0.00,27
3,290,282,-20.00,0.00,28
5,290,289,0.00,1.19,29
3,290,284,9.00,2.97,30
1,290,276,12.00,0.00,31
3,290,288,8.00,2.97,32
3,290,274,13.90,2.82,33
6,290,289,-1.45,1.04,34
2,290,274,-18.50,12.60,35
3,290,289,-7.00,0.00,36
1,290,244,-16.10,0.00,37
1,290,208,5.00,0.00,38
5,290,289,1.00,1.48,39
3,290,264,14.00,1.48,40
1,290,273,-9.60,0.00,41
0,290,001,-26.20,-999.00,42
3,290,290,-24.80,2.08,43
4,290,290,-5.00,0.74,44
3,290,281,-16.00,1.48,45
1,290,232,40.00,0.00,46
3,290,278,6.50,0.74,47
3,290,288,22.00,2.97,48
1,290,240,-27.00,0.00,49
5,290,290,-1.00,0.00,50
0,290,001,-43.40,-999.00,51
0,289,001,-25.50,-999.00,1
3,289,283,-7.00,2.97,2
6,289,289,-2.50,1.11,3
1,289,250,-15.00,0.00,4
3,289,288,24.40,3.56,5
3,289,262,11.00,1.36,6
1,289,262,16.00,0.00,7
0,289,001,86.80,-999.00,8
2,289,265,18.35,2.00,9
3,289,288,-6.00,1.48,10
9,289,289,-2.00,1.63,11
0,289,001,29.50,-999.00,12
0,289,001,-30.80,-999.00,13
2,289,279,16.60,1.48,14
3,289,274,-16.00,1.78,15
2,289,272,-5.35,2.00,16
0,289,001,-14.70,-999.00,17
0,289,001,-25.90,-999.00,18
0,289,001,-18.60,-999.00,19
3,289,280,8.00,7.41,20
3,289,289,25.80,5.63,21
3,289,284,28.00,1.48,22
9,289,289,0.90,1.63,23
3,289,288,8.00,0.00,24
0,289,001,-16.50,-999.00,25
3,289,284,-11.80,3.85,26
3,289,282,-17.00,0.00,27
3,289,282,-20.00,0.00,28
6,289,289,0.00,1.33,29
3,289,284,9.00,2.97,30
1,289,276,12.00,0.00,31
3,289,288,8.00,2.97,32
3,289,274,13.90,2.82,33
7,289,289,-1.00,1.33,34
2,289,274,-18.50,12.60,35
3,289,289,-7.00,0.00,36
1,289,244,-16.10,0.00,37
1,289,208,5.00,0.00,38
9,289,289,0.00,1.48,39
3,289,264,14.00,1.48,40
1,289,273,-9.60,0.00,41
0,289,001,-26.20,-999.00,42
2,289,282,-23.60,3.85,43
3,289,289,-5.00,0.00,44
3,289,281,-16.00,1.48,45
1,289,232,40.00,0.00,46
3,289,278,6.50,0.74,47
3,289,288,22.00,2.97,48
1,289,240,-27.00,0.00,49
6,289,289,-0.50,0.74,50
0,289,001,-43.40,-999.00,51
0,288,001,-25.50,-999.00,1
3,288,283,-7.00,2.97,2
7,288,288,-2.00,0.89,3
1,288,250,-15.00,0.00,4
3,288,288,24.40,3.56,5
3,288,262,11.00,1.36,6
1,288,262,16.00,0.00,7
0,288,001,86.80,-999.00,8
2,288,265,18.35,2.00,9
3,288,288,-6.00,1.48,10
9,288,288,-1.30,2.52,11
0,288,001,29.50,-999.00,12
0,288,001,-30.80,-999.00,13
2,288,279,16.60,1.48,14
3,288,274,-16.00,1.78,15
2,288,272,-5.35,2.00,16
0,288,001,-14.70,-999.00,17
0,288,001,-25.90,-999.00,18
0,288,001,-18.60,-999.00,19
3,288,280,8.00,7.41,20
3,288,288,25.80,5.63,21
3,288,284,28.00,1.48,22
10,288,288,0.05,1.33,23
3,288,288,8.00,0.00,24
0,288,001,-16.50,-999.00,25
3,288,284,-11.80,3.85,26
3,288,282,-17.00,0.00,27
3,288,282,-20.00,0.00,28
5,288,288,0.00,1.63,29
3,288,284,9.00,2.97,30
1,288,276,12.00,0.00,31
3,288,288,8.00,2.97,32
3,288,274,13.90,2.82,33
7,288,288,-1.00,0.59,34
2,288,274,-18.50,12.60,35
3,288,281,-7.00,0.30,36
1,288,244,-16.10,0.00,37
1,288,208,5.00,0.00,38
11,288,288,-0.70,1.04,39
3,288,264,14.00,1.48,40
1,288,273,-9.60,0.00,41
0,288,001,-26.20,-999.00,42
2,288,282,-23.60,3.85,43
3,288,284,-5.00,0.00,44
3,288,281,-16.00,1.48,45
1,288,232,40.00,0.00,46
3,288,278,6.50,0.74,47
3,288,288,22.00,2.97,48
1,288,240,-27.00,0.00,49
6,288,288,-0.35,0.96,50
0,288,001,-43.40,-999.00,51
0,287,001,-25.50,-999.00,1
3,287,283,-7.00,2.97,2
7,287,287,-1.50,2.22,3
1,287,250,-15.00,0.00,4
3,287,284,22.20,0.30,5
3,287,262,11.00,1.36,6
1,287,262,16.00,0.00,7
0,287,001,86.80,-999.00,8
2,287,265,18.35,2.00,9
3,287,282,-7.00,4.45,10
6,287,284,-1.15,2.30,11
0,287,001,29.50,-999.00,12
0,287,001,-30.80,-999.00,13
2,287,279,16.60,1.48,14
3,287,274,-16.00,1.78,15
2,287,272,-5.35,2.00,16
0,287,001,-14.70,-999.00,17
0,287,001,-25.90,-999.00,18
0,287,001,-18.60,-999.00,19
3,287,280,8.00,7.41,20
3,287,272,28.37,5.38,21
3,287,284,28.00,1.48,22
10,287,287,0.50,2.22,23
3,287,283,6.00,0.30,24
0,287,001,-16.50,-999.00,25
3,287,284,-11.80,3.85,26
3,287,282,-17.00,0.00,27
3,287,282,-20.00,0.00,28
4,287,287,-1.10,3.04,29
3,287,284,9.00,2.97,30
1,287,276,12.00,0.00,31
3,287,262,8.00,2.97,32
3,287,274,13.90,2.82,33
4,287,287,-1.00,0.07,34
2,287,274,-18.50,12.60,35
3,287,281,-7.00,0.30,36
1,287,244,-16.10,0.00,37
1,287,208,5.00,0.00,38
13,287,284,-0.70,1.04,39
3,287,264,14.00,1.48,40
1,287,273,-9.60,0.00,41
0,287,001,-26.20,-999.00,42
2,287,282,-23.60,3.85,43
3,287,284,-5.00,0.00,44
3,287,281,-16.00,1.48,45
1,287,232,40.00,0.00,46
3,287,278,6.50,0.74,47
3,287,287,21.00,1.48,48
1,287,240,-27.00,0.00,49
6,287,283,-0.35,1.48,50
0,287,001,-43.40,-999.00,51
0,286,001,-25.50,-999.00,1
3,286,283,-7.00,2.97,2
6,286,284,-1.85,2.89,3
1,286,250,-15.00,0.00,4
3,286,284,22.20,0.30,5
3,286,262,11.00,1.36,6
1,286,262,16.00,0.00,7
0,286,001,86.80,-999.00,8
2,286,265,18.35,2.00,9
4,286,282,-6.50,2.22,10
6,286,284,-1.15,2.30,11
0,286,001,29.50,-999.00,12
0,286,001,-30.80,-999.00,13
2,286,279,16.60,1.48,14
3,286,274,-16.00,1.78,15
2,286,272,-5.35,2.00,16
0,286,001,-14.70,-999.00,17
0,286,001,-25.90,-999.00,18
0,286,001,-18.60,-999.00,19
3,286,280,8.00,7.41,20
3,286,272,28.37,5.38,21
3,286,284,28.00,1.48,22
9,286,285,0.10,2.82,23
3,286,283,6.00,0.30,24
0,286,001,-16.50,-999.00,25
3,286,284,-11.80,3.85,26
3,286,282,-17.00,0.00,27
3,286,282,-20.00,0.00,28
3,286,283,-3.00,2.97,29
3,286,284,9.00,2.97,30
1,286,276,12.00,0.00,31
3,286,262,8.00,2.97,32
3,286,274,13.90,2.82,33
4,286,283,-0.95,0.07,34
2,286,274,-18.50,12.60,35
3,286,281,-7.00,0.30,36
1,286,244,-16.10,0.00,37
1,286,208,5.00,0.00,38
13,286,284,-0.70,1.04,39
3,286,264,14.00,1.48,40
1,286,273,-9.60,0.00,41
0,286,001,-26.20,-999.00,42
2,286,282,-23.60,3.85,43
4,286,284,-5.00,0.00,44
3,286,281,-16.00,1.48,45
1,286,232,40.00,0.00,46
3,286,278,6.50,0.74,47
3,286,286,21.00,5.93,48
1,286,240,-27.00,0.00,49
7,286,283,-0.70,1.04,50
0,286,001,-43.40,-999.00,51
0,285,001,-25.50,-999.00,1
3,285,283,-7.00,2.97,2
6,285,284,-1.85,2.89,3
1,285,250,-15.00,0.00,4
3,285,284,22.20,0.30,5
3,285,262,11.00,1.36,6
1,285,262,16.00,0.00,7
0,285,001,86.80,-999.00,8
2,285,265,18.35,2.00,9
4,285,282,-6.50,2.22,10
6,285,284,-1.15,2.30,11
0,285,001,29.50,-999.00,12
0,285,001,-30.80,-999.00,13
2,285,279,16.60,1.48,14
3,285,274,-16.00,1.78,15
2,285,272,-5.35,2.00,16
0,285,001,-14.70,-999.00,17
0,285,001,-25.90,-999.00,18
0,285,001,-18.60,-999.00,19
3,285,280,8.00,7.41,20
3,285,272,28.37,5.38,21
3,285,284,28.00,1.48,22
9,285,285,0.10,2.82,23
3,285,283,6.00,0.30,24
0,285,001,-16.50,-999.00,25
3,285,284,-11.80,3.85,26
3,285,282,-17.00,0.00,27
3,285,282,-20.00,0.00,28
3,285,283,-3.00,2.97,29
3,285,284,9.00,2.97,30
1,285,276,12.00,0.00,31
3,285,262,8.00,2.97,32
3,285,274,13.90,2.82,33
4,285,283,-0.95,0.07,34
2,285,274,-18.50,12.60,35
3,285,281,-7.00,0.30,36
1,285,244,-16.10,0.00,37
1,285,208,5.00,0.00,38
13,285,284,-0.70,1.04,39
3,285,264,14.00,1.48,40
1,285,273,-9.60,0.00,41
0,285,001,-26.20,-999.00,42
2,285,282,-23.60,3.85,43
4,285,284,-5.00,0.00,44
3,285,281,-16.00,1.48,45
1,285,232,40.00,0.00,46
3,285,278,6.50,0.74,47
2,285,250,17.50,5.19,48
1,285,240,-27.00,0.00,49
7,285,283,-0.70,1.04,50
0,285,001,-43.40,-999.00,51
0,284,001,-25.50,-999.00,1
3,284,283,-7.00,2.97,2
6,284,284,-1.85,2.89,3
1,284,250,-15.00,0.00,4
3,284,284,22.20,0.30,5
3,284,262,11.00,1.36,6
1,284,262,16.00,0.00,7
0,284,001,86.80,-999.00,8
2,284,265,18.35,2.00,9
5,284,282,-6.00,1.48,10
6,284,284,-1.15,2.30,11
0,284,001,29.50,-999.00,12
0,284,001,-30.80,-999.00,13
2,284,279,16.60,1.48,14
3,284,274,-16.00,1.78,15
2,284,272,-5.35,2.00,16
0,284,001,-14.70,-999.00,17
0,284,001,-25.90,-999.00,18
0,284,001,-18.60,-999.00,19
3,284,280,8.00,7.41,20
3,284,272,28.37,5.38,21
3,284,284,28.00,1.48,22
9,284,283,0.10,3.11,23
3,284,283,6.00,0.30,24
0,284,001,-16.50,-999.00,25
3,284,284,-11.80,3.85,26
3,284,282,-17.00,0.00,27
3,284,282,-20.00,0.00,28
3,284,283,-3.00,2.97,29
3,284,284,9.00,2.97,30
1,284,276,12.00,0.00,31
3,284,262,8.00,2.97,32
3,284,274,13.90,2.82,33
4,284,283,-0.95,0.07,34
2,284,274,-18.50,12.60,35
3,284,281,-7.00,0.30,36
1,284,244,-16.10,0.00,37
1,284,208,5.00,0.00,38
13,284,284,-0.70,1.04,39
3,284,264,14.00,1.48,40
1,284,273,-9.60,0.00,41
0,284,001,-26.20,-999.00,42
2,284,282,-23.60,3.85,43
6,284,284,-5.00,0.00,44
3,284,281,-16.00,1.48,45
1,284,232,40.00,0.00,46
3,284,278,6.50,0.74,47
2,284,250,17.50,5.19,48
1,284,240,-27.00,0.00,49
7,284,283,-0.70,1.04,50
0,284,001,-43.40,-999.00,51
0,283,001,-25.50,-999.00,1
3,283,283,-7.00,2.97,2
5,283,283,-1.40,2.37,3
1,283,250,-15.00,0.00,4
3,283,275,22.20,0.30,5
3,283,262,11.00,1.36,6
1,283,262,16.00,0.00,7
0,283,001,86.80,-999.00,8
2,283,265,18.35,2.00,9
5,283,282,-6.00,1.48,10
5,283,283,-1.00,1.63,11
0,283,001,29.50,-999.00,12
0,283,001,-30.80,-999.00,13
2,283,279,16.60,1.48,14
3,283,274,-16.00,1.78,15
2,283,272,-5.35,2.00,16
0,283,001,-14.70,-999.00,17
0,283,001,-25.90,-999.00,18
0,283,001,-18.60,-999.00,19
3,283,280,8.00,7.41,20
3,283,272,28.37,5.38,21
3,283,279,29.00,1.48,22
9,283,283,0.10,3.11,23
3,283,283,6.00,0.30,24
0,283,001,-16.50,-999.00,25
3,283,257,-11.00,1.19,26
3,283,282,-17.00,0.00,27
3,283,282,-20.00,0.00,28
4,283,283,-1.50,3.04,29
3,283,276,8.00,1.48,30
1,283,276,12.00,0.00,31
3,283,262,8.00,2.97,32
3,283,274,13.90,2.82,33
4,283,283,-0.95,0.07,34
2,283,274,-18.50,12.60,35
3,283,281,-7.00,0.30,36
1,283,244,-16.10,0.00,37
1,283,208,5.00,0.00,38
11,283,283,-0.70,1.04,39
3,283,264,14.00,1.48,40
1,283,273,-9.60,0.00,41
0,283,001,-26.20,-999.00,42
2,283,282,-23.60,3.85,43
4,283,281,-5.50,0.74,44
3,283,281,-16.00,1.48,45
1,283,232,40.00,0.00,46
3,283,278,6.50,0.74,47
2,283,250,17.50,5.19,48
1,283,240,-27.00,0.00,49
7,283,283,-0.70,1.04,50
0,283,001,-43.40,-999.00,51
0,282,001,-25.50,-999.00,1
3,282,273,-9.00,1.33,2
7,282,282,-1.40,1.33,3
1,282,250,-15.00,0.00,4
3,282,275,22.20,0.30,5
3,282,262,11.00,1.36,6
1,282,262,16.00,0.00,7
0,282,001,86.80,-999.00,8
2,282,265,18.35,2.00,9
6,282,282,-6.00,2.22,10
5,282,282,0.00,1.48,11
0,282,001,29.50,-999.00,12
0,282,001,-30.80,-999.00,13
2,282,279,16.60,1.48,14
3,282,274,-16.00,1.78,15
2,282,272,-5.35,2.00,16
0,282,001,-14.70,-999.00,17
0,282,001,-25.90,-999.00,18
0,282,001,-18.60,-999.00,19
3,282,280,8.00,7.41,20
3,282,272,28.37,5.38,21
3,282,279,29.00,1.48,22
8,282,282,2.00,1.19,23
3,282,276,6.00,0.00,24
0,282,001,-16.50,-999.00,25
3,282,257,-11.00,1.19,26
3,282,282,-17.00,0.00,27
3,282,282,-20.00,0.00,28
5,282,282,0.00,1.63,29
3,282,276,8.00,1.48,30
1,282,276,12.00,0.00,31
3,282,262,8.00,2.97,32
3,282,274,13.90,2.82,33
4,282,282,-0.95,0.82,34
2,282,274,-18.50,12.60,35
3,282,281,-7.00,0.30,36
1,282,244,-16.10,0.00,37
1,282,208,5.00,0.00,38
10,282,282,0.00,1.48,39
3,282,264,14.00,1.48,40
1,282,273,-9.60,0.00,41
0,282,001,-26.20,-999.00,42
2,282,282,-23.60,3.85,43
4,282,281,-5.50,0.74,44
3,282,281,-16.00,1.48,45
1,282,232,40.00,0.00,46
3,282,278,6.50,0.74,47
2,282,250,17.50,5.19,48
1,282,240,-27.00,0.00,49
7,282,282,-0.70,1.93,50
0,282,001,-43.40,-999.00,51
0,281,001,-25.50,-999.00,1
3,281,273,-9.00,1.33,2
5,281,281,-2.00,1.48,3
1,281,250,-15.00,0.00,4
3,281,275,22.20,0.30,5
3,281,262,11.00,1.36,6
1,281,262,16.00,0.00,7
0,281,001,86.80,-999.00,8
2,281,265,18.35,2.00,9
5,281,281,-6.00,2.97,10
3,281,276,0.00,0.30,11
0,281,001,29.50,-999.00,12
0,281,001,-30.80,-999.00,13
2,281,279,16.60,1.48,14
3,281,274,-16.00,1.78,15
