state,district,incumbent,favored,confidence,nom_R,nom_D,nom_I,cvap,VOTER_POWER,redistricting_voter_power
CT,CT-HD-13,D,D,Safe,Brian Marois,Jason Doucette,False,17145,-3.069051310866655e-07,-1.227620524346662e-06
CT,CT-HD-14,R,R,Likely,Tom Delnicki,Genevieve Coursey,False,17425,-1.0050179026332984e-05,-4.0200716105331935e-05
CT,CT-HD-15,D,D,Safe,False,Bobby Gibson,Danielle Wong,18720,-1.1421845846903977e-07,-4.568738338761591e-07
CT,CT-HD-17,R,False,Toss-Up,Leslee Hill,Eleni Kavros Degraw,False,16980,-6.955038334810482e-06,-2.7820153339241926e-05
CT,CT-HD-18,D,D,Safe,Rick Bush,Jillian Gilchrest,False,17510,-1.6548885806155766e-07,-6.619554322462307e-07
CT,CT-HD-21,D,D,Lean,Jon Brockelman,Mike Demicco,David Kramer,17290,-1.718605827094599e-06,-6.874423308378396e-06
CT,CT-HD-23,R,R,Likely,Devin Carney,David Rubino,False,18535,-4.28544928254837e-06,-1.714179713019348e-05
CT,CT-HD-24,False,D,Safe,Alden Russell,Manny Sanchez,False,15850,-1.7758576542625804e-07,-7.103430617050321e-07
CT,CT-HD-25,D,D,Safe,Jerrell Hargraves,Robert (Bobby) Sanchez,False,15715,-2.17646260125548e-07,-8.70585040502192e-07
CT,CT-HD-26,D,D,Safe,Piotr Ceglarz,Peter Tercyak,Jonathan Johnson,17535,-1.7596152013243938e-07,-7.038460805297575e-07
CT,CT-HD-27,D,D,Likely,Michael Camillo,Gary Turco,False,18800,-2.555586168684343e-06,-1.0222344674737371e-05
CT,CT-HD-28,False,D,Likely,Patrick Pentalon,Amy Bello,Henry Thayer,17955,-1.6457055795893183e-06,-6.582822318357273e-06
CT,CT-HD-29,D,D,Safe,Henry Vasel,Kerry Wood,False,17975,-5.406309140365551e-07,-2.1625236561462202e-06
CT,CT-HD-30,False,R,Lean,Donna Veach,JoAnn Angelico-Stetson,False,19905,-1.0338779419138966e-05,-4.1355117676555864e-05
CT,CT-HD-31,D,D,Tilt,Stewart Beckett,Jill Barry,False,17905,-5.113384521471254e-06,-2.0453538085885015e-05
CT,CT-HD-33,False,D,Safe,Linda Szynkowicz,Brandon Chafee,False,18445,-1.3160003786705232e-07,-5.264001514682093e-07
CT,CT-HD-34,R,R,Lean,Irene Haines,Wilson Melon,Lance Lusignan,18225,-1.1253296976154736e-05,-4.5013187904618945e-05
CT,CT-HD-35,R,R,Likely,Jesse MacLachlan,Christine Goupil,John May,18340,-7.02905213689764e-06,-2.811620854759056e-05
CT,CT-HD-36,D,D,Tilt,"Robert W. Siegrist, III",Christine Palm,False,18640,-4.93133778389776e-06,-1.972535113559104e-05
CT,CT-HD-37,R,R,Tilt,Holly Cheeseman,Catherine Steel,False,18450,-1.1354947243580327e-05,-4.541978897432131e-05
CT,CT-HD-38,R,R,Tilt,Kathleen McCarty,Baird Welch-Collins,False,18715,-1.1101603206942201e-05,-4.4406412827768804e-05
CT,CT-HD-39,D,D,Safe,Kat Goulart,Anthony Nolan,Erycka Ortiz,16710,-1.7499534010756435e-07,-6.999813604302574e-07
CT,CT-HD-40,D,D,Safe,Lauren Gauthier,Christine Conley,False,18070,-4.962762814031407e-07,-1.985105125612563e-06
CT,CT-HD-42,R,R,Safe,Mike France,Matt Geren,Robert Lawrence,18500,-8.000729918578031e-07,-3.2002919674312125e-06
CT,CT-HD-43,D,D,Likely,Greg Howard,Kate Rotella,False,18985,-1.1427534416519336e-06,-4.571013766607734e-06
CT,CT-HD-44,R,R,Safe,Anne Dauphinais,Christine Rosati Randall,False,18625,-1.789209409075454e-06,-7.156837636301816e-06
CT,CT-HD-45,R,R,Safe,Brian Lanoue,Mark DePonte,Daniel Reale,17595,-2.6695374247820425e-06,-1.067814969912817e-05
CT,CT-HD-46,D,D,Safe,Robert Bell,Emmett Riley,False,17415,-2.1340073030895468e-07,-8.536029212358187e-07
CT,CT-HD-47,R,R,Safe,Doug Dubitsky,Kate Donnelly,False,19100,-2.628940304894023e-06,-1.0515761219576092e-05
CT,CT-HD-48,D,D,Safe,Julianne Shilosky,Brian Smith,False,17595,-5.620777262516086e-07,-2.2483109050064343e-06
CT,CT-HD-51,R,R,Lean,Ricky Hayes,Larry Groh Jr.,False,18495,-1.0967977903453274e-05,-4.38719116138131e-05
CT,CT-HD-52,R,R,Safe,Kurt Vail,Gregory Post,False,18680,-1.672346333192465e-06,-6.68938533276986e-06
CT,CT-HD-53,D,D,Lean,Tommy Nuccio,Patricia Wilson Pheanious,False,18385,-2.9891321298158857e-06,-1.1956528519263543e-05
CT,CT-HD-55,R,R,Likely,Robin Green,John Collins,Salvatore Sena,18605,-3.905251072855442e-06,-1.562100429142177e-05
CT,CT-HD-56,D,D,Likely,Laura Bush,Michael Winkler,False,18895,-1.4380225902277388e-06,-5.752090360910955e-06
CT,CT-HD-57,R,R,Safe,Christopher Davis,Taylor Biniarz,False,18290,-5.968862858418689e-07,-2.3875451433674755e-06
CT,CT-HD-58,D,D,Lean,Mary Ann Turner,Thomas Arnone,False,18515,-2.046223532392588e-06,-8.184894129570353e-06
CT,CT-HD-59,R,R,Likely,Carol Hall,Gerald Calnen,False,18730,-9.35160596049478e-06,-3.740642384197912e-05
CT,CT-HD-60,D,D,Tilt,Scott Storms,Jane Garibay,False,17540,-3.4920996164755636e-06,-1.3968398465902254e-05
CT,CT-HD-61,R,R,Safe,Tami Zawistowski,John Henrie,False,18165,-1.2917635381359815e-06,-5.167054152543926e-06
CT,CT-HD-62,False,R,Safe,Mark Anderson,Audrey Lampert,False,18245,-2.6998371037700863e-06,-1.0799348415080345e-05
CT,CT-HD-63,R,R,Safe,Jay Case,Noel Rodriguez,False,17935,-5.267561385968733e-07,-2.1070245543874933e-06
CT,CT-HD-64,D,D,Tilt,Brian Ohler,Maria Horn,False,17605,-6.2006033287875795e-06,-2.4802413315150318e-05
CT,CT-HD-65,D,D,Lean,Christopher Beyus,Michelle Cook,Don Alexander,16245,-4.314260524496127e-06,-1.725704209798451e-05
CT,CT-HD-66,R,R,Safe,David Wilson,Matthew Dyer,False,17505,-2.8361680378674596e-06,-1.1344672151469838e-05
CT,CT-HD-67,R,R,Safe,William Buckbee,Hilary Ram,False,17320,-3.1503697665025143e-06,-1.2601479066010057e-05
CT,CT-HD-68,R,R,Safe,Joseph Polletta,Sean Butterly,False,17760,-5.698781065932579e-07,-2.2795124263730315e-06
CT,CT-HD-69,False,R,Safe,Cindy Harrison,Michele Zommer,False,19245,-2.547587540147056e-06,-1.0190350160588224e-05
CT,CT-HD-70,R,R,Safe,Rosa Rebimbas,Stephen Samela,False,17030,-5.888369170037322e-07,-2.3553476680149288e-06
CT,CT-HD-72,D,D,Safe,Vernon Matthews,Larry Butler,False,15200,-1.7317392408955357e-07,-6.926956963582143e-07
CT,CT-HD-74,R,R,Lean,Stephanie Cummings,Michael DiGiovancarlo,False,16010,-1.062779564497962e-05,-4.251118257991848e-05
CT,CT-HD-76,R,R,Safe,John Piscopo,Paul Honig,False,18545,-5.504293113522962e-07,-2.201717245409185e-06
CT,CT-HD-77,R,D,Tilt,Cara Pavalock-D'Amato,Andrew Rasmussen-Tuller,False,18615,-8.163573166131144e-06,-3.2654292664524576e-05
CT,CT-HD-79,D,D,Likely,David Rackliffe,Christopher Ziogas,False,18380,-1.595380191066198e-06,-6.381520764264792e-06
CT,CT-HD-80,R,R,Safe,Gale Mastrofrancesco,"John ""Corky"" Mazurek",False,17690,-6.526794948946701e-07,-2.6107179795786806e-06
CT,CT-HD-81,R,R,Safe,John Fusco,Dagmara Scalise,False,18090,-2.735539527676245e-06,-1.094215811070498e-05
CT,CT-HD-82,False,D,Safe,Mike Skelps,Michael Quinn,Ernestine Holloway,19490,-3.475819184695083e-07,-1.3903276738780333e-06
CT,CT-HD-83,D,D,Tilt,Lou Arata,Catherine Abercrombie,False,19970,-4.548428256589965e-06,-1.819371302635986e-05
CT,CT-HD-84,D,D,Safe,Richard Cordero,Hilda Santiago,False,14950,-2.2020229895058918e-07,-8.808091958023567e-07
CT,CT-HD-85,D,D,Likely,Weston Ulbrich,Mary Mushinsky,False,18260,-9.367046974739779e-07,-3.7468187898959116e-06
CT,CT-HD-86,R,R,Safe,Vincent Candelora,Vincent Mase,False,18295,-5.890733075775145e-07,-2.356293230310058e-06
CT,CT-HD-87,R,R,Safe,David Yaccarino,Kathy Grant,False,18705,-5.935542741752897e-07,-2.374217096701159e-06
CT,CT-HD-88,D,D,Safe,Kathy Hoyt,Joshua Elliott,False,19280,-1.2535653648448886e-07,-5.014261459379554e-07
CT,CT-HD-89,R,R,Safe,Lezlye Zupkus,Edward Maher III,False,17665,-6.616288993344099e-07,-2.6465155973376397e-06
CT,CT-HD-90,R,R,Safe,Craig Fishbein,Jim Jinks,False,18345,-2.856689577557248e-06,-1.1426758310228992e-05
CT,CT-HD-96,D,D,Safe,Eric Mastroianni,Roland Lemar,False,17910,-1.609448240236233e-07,-6.437792960944932e-07
CT,CT-HD-97,D,D,Safe,Erin Reilly,Alphonse Paolillo,False,17150,-1.7564763221677993e-07,-7.025905288671197e-07
CT,CT-HD-99,R,R,Tilt,Joseph Zullo,Dave Yaccarino,False,18335,-9.823005407083585e-06,-3.929202162833434e-05
CT,CT-HD-100,D,D,Safe,Anthony Gennaro,Quentin Phipps,False,17205,-1.9178607868486353e-07,-7.671443147394541e-07
CT,CT-HD-101,R,False,Toss-Up,Noreen Kokoruda,John-Michael Parker,False,17405,-1.1289093911570625e-05,-4.51563756462825e-05
CT,CT-HD-102,D,D,Likely,Marc Riccio,Robin Corney,False,19260,-1.0572554619558971e-06,-4.229021847823589e-06
CT,CT-HD-103,D,D,Tilt,Pam Salamone,Elizabeth Linehan,False,18475,-4.021077518845395e-06,-1.608431007538158e-05
CT,CT-HD-104,D,D,Safe,Shamyra Rivers,Kara Rochelle,False,17250,-5.838693261095429e-07,-2.3354773044381716e-06
CT,CT-HD-105,R,R,Safe,Nicole Klarides-Ditria,Christopher Bowen,False,18305,-1.4030668550324421e-06,-5.6122674201297684e-06
CT,CT-HD-106,R,False,Toss-Up,Mitch Bolinsky,Rebekah Harriman-Stites,False,17460,-1.0620333345756627e-05,-4.248133338302651e-05
CT,CT-HD-108,False,R,Safe,Patrick Callahan,Danette Onofrio,False,17795,-2.830456912628066e-06,-1.1321827650512263e-05
CT,CT-HD-109,D,D,Safe,Michael Henry,"David Arconti, Jr.",False,15310,-1.617182464608291e-07,-6.468729858433164e-07
CT,CT-HD-110,D,D,Safe,Erin Domenech,Bob Godfrey,False,12200,-2.723889932498835e-07,-1.089555972999534e-06
CT,CT-HD-111,False,D,Tilt,Robert Hebert,Aimee Berger-Girvalo,False,16280,-4.270890625268642e-06,-1.7083562501074567e-05
CT,CT-HD-113,R,R,Safe,Jason Perillo,Elaine Matto,False,18165,-5.552038713219076e-07,-2.2208154852876305e-06
CT,CT-HD-114,False,R,Safe,Dan DeBarba,Mary Welander,False,16440,-3.24762636871867e-06,-1.299050547487468e-05
CT,CT-HD-117,R,R,Likely,Charles Ferraro,Tony Sutton,False,19025,-7.220170084032418e-06,-2.888068033612967e-05
CT,CT-HD-118,False,D,Safe,Erik Smith,Frank Smith,False,18340,-6.062188924182976e-07,-2.4248755696731905e-06
CT,CT-HD-119,R,R,Lean,Kathy Kennedy,Bryan Anderson,False,18265,-1.1449974926414088e-05,-4.579989970565635e-05
CT,CT-HD-120,D,D,Tilt,James Feehan,Philip Young,False,18135,-6.441212094809856e-06,-2.5764848379239425e-05
CT,CT-HD-121,D,D,Safe,Edward Scinto,Joseph Gresko,False,16955,-1.714992823309558e-07,-6.859971293238232e-07
CT,CT-HD-122,R,R,Safe,Ben McGorty,Jose Goncalves,False,19715,-6.001217799367353e-07,-2.4004871197469413e-06
CT,CT-HD-123,R,R,Safe,David Rutigliano,Sujata Gadkar-Wilcox,Brandon Cousins,17230,-3.3729613302391215e-06,-1.3491845320956486e-05
CT,CT-HD-124,D,D,Safe,Jasmin Sanchez,Andre Baker,Wilfredo Martinez,15320,-2.1156305607394899e-07,-8.462522242957959e-07
CT,CT-HD-126,D,D,Safe,Lee V. Grisby II,Charlie Stallworth,False,16145,-1.9185394961596103e-07,-7.674157984638441e-07
CT,CT-HD-127,D,D,Safe,Peter Perillo,John (Jack) Hennessy,Robert Keely,16260,-2.1984187481560721e-07,-8.793674992624289e-07
CT,CT-HD-128,D,D,Safe,Ethan Book,Christopher Rosario,Wanda Simmons,11655,-3.223191441525941e-07,-1.2892765766103764e-06
CT,CT-HD-129,D,D,Safe,Helene Kouassi,Steve Stafstrom,Robert Halstead,14895,-2.3132062232367187e-07,-9.252824892946875e-07
CT,CT-HD-130,D,D,Safe,Terry Sullivan,Antonio Felipe,False,13890,-2.3812030491843217e-07,-9.524812196737287e-07
CT,CT-HD-132,R,R,Likely,Brian Farnen,Jennifer Leeper,False,17520,-9.035018554648389e-06,-3.6140074218593554e-05
CT,CT-HD-133,D,D,Safe,Joanne Romero-Csonka,Christin McCarthy Vahey,False,17310,-2.103695341260092e-07,-8.414781365040368e-07
CT,CT-HD-134,R,R,Safe,Laura Devlin,Carla Volpe,False,17425,-2.9647636909935215e-06,-1.1859054763974086e-05
CT,CT-HD-135,D,D,Lean,John Shaban,Anne Hughes,False,16975,-2.1942770205285456e-06,-8.777108082114182e-06
CT,CT-HD-136,D,D,Safe,Ronald Stephens,Jonathan Steinberg,False,17200,-2.3355008793579657e-07,-9.342003517431863e-07
CT,CT-HD-137,D,D,Safe,Ellen Wink,Chris Perone,False,16500,-1.6820261794503466e-07,-6.728104717801386e-07
CT,CT-HD-138,D,D,Lean,Emile Buzaid,Kenneth Gucker,False,17800,-3.4203387263564977e-06,-1.3681354905425991e-05
CT,CT-HD-139,D,D,Likely,Caleb Espinosa,Kevin Ryan,False,17645,-7.422966640246997e-07,-2.969186656098799e-06
CT,CT-HD-142,D,D,Likely,Fred Wilms,"Lucia ""Lucy"" Dathan",False,18090,-1.3065862694006114e-06,-5.226345077602446e-06
CT,CT-HD-143,False,D,Tilt,M. Patricia Zucaro,Stephanie Thomas,False,17315,-3.2746374198922013e-06,-1.3098549679568805e-05
CT,CT-HD-145,D,D,Safe,Juan Ospina,Patricia Billie Miller,False,12060,-2.6900719962696945e-07,-1.0760287985078778e-06
CT,CT-HD-146,D,D,Safe,George Hallenbeck,David Michel,False,16950,-1.9019582275792146e-07,-7.607832910316858e-07
CT,CT-HD-147,D,D,Safe,Dan Maymin,Matthew Blumenthal,David Chesler,15515,-3.1857674231972055e-07,-1.2743069692788822e-06
CT,CT-HD-148,D,D,Safe,Wilm Donath,Daniel Fox,False,13945,-2.478927357829619e-07,-9.915709431318476e-07
CT,CT-HD-149,False,R,Tilt,Kimberly Florello,Kathleen Stowe,False,16755,-1.1145520602662273e-05,-4.458208241064909e-05
CT,CT-HD-150,D,D,Lean,Joseph Kelly,Steve Meskers,False,14950,-4.106814917359536e-06,-1.6427259669438143e-05
CT,CT-HD-151,R,R,Likely,Harry Arora,Hector Arzeno,False,14275,-9.660355232532503e-06,-3.864142093013001e-05
FL,FL-SD-1,R,R,Safe,Douglas Broxon,Karen Butler,False,389005,5.945634395931876e-08,1.6053212869016065e-06
FL,FL-SD-3,False,D,Safe,Marva Harris Preston,Loranne Ausley,False,379675,2.6596115115795627e-08,7.180951081264819e-07
FL,FL-SD-5,False,R,Safe,Jennifer Bradley,Melina Barratt,False,371715,6.241290209652028e-08,1.6851483566060477e-06
FL,FL-SD-7,R,R,Safe,Travis Hutson,Heather Hunter,False,419645,7.456969876307173e-08,2.013381866602937e-06
FL,FL-SD-9,False,R,Tilt,Jason Brodeur,Patricia Sigman,Jestine Iannotti,376405,5.429022559844121e-07,1.4658360911579127e-05
FL,FL-SD-11,D,D,Safe,Joshua Adams,Randolph Bracy,False,353385,6.130501967183122e-09,1.655235531139443e-07
